"","date","hits","geo","time","keyword","gprop","category"
"105",2019-05-12,16,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"106",2019-05-13,12,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"107",2019-05-14,16,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"108",2019-05-15,12,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"109",2019-05-16,11,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"110",2019-05-17,12,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"111",2019-05-18,12,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"112",2019-05-19,31,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"113",2019-05-20,41,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"114",2019-05-21,27,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"115",2019-05-22,20,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"116",2019-05-23,19,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"117",2019-05-24,17,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"118",2019-05-25,16,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"119",2019-05-26,19,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"120",2019-05-27,14,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"121",2019-05-28,11,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"122",2019-05-29,9,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"123",2019-05-30,11,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"124",2019-05-31,10,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"125",2019-06-01,9,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"126",2019-06-02,7,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"127",2019-06-03,10,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"128",2019-06-04,14,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"129",2019-06-05,9,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"130",2019-06-06,8,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"131",2019-06-07,9,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"132",2019-06-08,10,"US","2019-04-04 2019-06-08","Pete Buttigieg","web",0
"133",2019-04-04,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"134",2019-04-05,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"135",2019-04-06,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"136",2019-04-07,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"137",2019-04-08,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"138",2019-04-09,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"139",2019-04-10,8,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"140",2019-04-11,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"141",2019-04-12,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"142",2019-04-13,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"143",2019-04-14,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"144",2019-04-15,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"145",2019-04-16,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"146",2019-04-17,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"147",2019-04-18,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"148",2019-04-19,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"149",2019-04-20,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"150",2019-04-21,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"151",2019-04-22,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"152",2019-04-23,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"153",2019-04-24,3,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"154",2019-04-25,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"155",2019-04-26,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"156",2019-04-27,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"157",2019-04-28,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"158",2019-04-29,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"159",2019-04-30,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"160",2019-05-01,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"161",2019-05-02,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"162",2019-05-03,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"163",2019-05-04,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"164",2019-05-05,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"165",2019-05-06,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"166",2019-05-07,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"167",2019-05-08,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"168",2019-05-09,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"169",2019-05-10,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"170",2019-05-11,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"171",2019-05-12,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"172",2019-05-13,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"173",2019-05-14,1,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"174",2019-05-15,3,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
"175",2019-05-16,2,"US","2019-04-04 2019-06-08","Kirsten Gillibrand","web",0
